Date,HICP_Index,Inflation_mon
1996-01-01,75.1,
1996-02-01,75.6,0.67
1996-03-01,75.7,0.13
1996-04-01,75.6,-0.13
1996-05-01,75.7,0.13
1996-06-01,75.8,0.13
1996-07-01,76.0,0.26
1996-08-01,75.9,-0.13
1996-09-01,75.9,0.00
1996-10-01,75.8,-0.13
1996-11-01,75.7,-0.13
1996-12-01,76.0,0.40
1997-01-01,76.5,0.66
1997-02-01,76.8,0.39
1997-03-01,76.7,-0.13
1997-04-01,76.5,-0.26
1997-05-01,76.8,0.39
1997-06-01,76.9,0.13
1997-07-01,77.2,0.39
1997-08-01,77.2,0.00
1997-09-01,77.0,-0.26
1997-10-01,76.9,-0.13
1997-11-01,76.9,0.00
1997-12-01,77.1,0.26
1998-01-01,77.0,-0.13
1998-02-01,77.2,0.26
1998-03-01,77.1,-0.13
1998-04-01,77.2,0.13
1998-05-01,77.5,0.39
1998-06-01,77.5,0.00
1998-07-01,77.8,0.39
1998-08-01,77.7,-0.13
1998-09-01,77.4,-0.39
1998-10-01,77.2,-0.26
1998-11-01,77.2,0.00
1998-12-01,77.2,0.00
1999-01-01,77.2,0.00
1999-02-01,77.3,0.13
1999-03-01,77.5,0.26
1999-04-01,77.8,0.39
1999-05-01,77.8,0.00
1999-06-01,77.8,0.00
1999-07-01,78.2,0.51
1999-08-01,78.2,0.00
1999-09-01,78.0,-0.26
1999-10-01,77.9,-0.13
1999-11-01,78.0,0.13
1999-12-01,78.3,0.38
2000-01-01,78.5,0.26
2000-02-01,78.6,0.13
2000-03-01,78.6,0.00
2000-04-01,78.6,0.00
2000-05-01,78.4,-0.25
2000-06-01,78.9,0.64
2000-07-01,79.2,0.38
2000-08-01,79.0,-0.25
2000-09-01,79.2,0.25
2000-10-01,79.1,-0.13
2000-11-01,79.1,0.00
2000-12-01,80.0,1.14
2001-01-01,79.5,-0.63
2001-02-01,80.0,0.63
2001-03-01,80.0,0.00
2001-04-01,80.3,0.37
2001-05-01,80.7,0.50
2001-06-01,80.8,0.12
2001-07-01,80.9,0.12
2001-08-01,80.7,-0.25
2001-09-01,80.6,-0.12
2001-10-01,80.4,-0.25
2001-11-01,80.2,-0.25
2001-12-01,81.1,1.12
2002-01-01,81.1,0.00
2002-02-01,81.4,0.37
2002-03-01,81.5,0.12
2002-04-01,81.5,0.00
2002-05-01,81.6,0.12
2002-06-01,81.5,-0.12
2002-07-01,81.8,0.37
2002-08-01,81.6,-0.24
2002-09-01,81.5,-0.12
2002-10-01,81.4,-0.12
2002-11-01,81.1,-0.37
2002-12-01,82.0,1.11
2003-01-01,82.0,0.00
2003-02-01,82.4,0.49
2003-03-01,82.5,0.12
2003-04-01,82.3,-0.24
2003-05-01,82.1,-0.24
2003-06-01,82.3,0.24
2003-07-01,82.5,0.24
2003-08-01,82.5,0.00
2003-09-01,82.4,-0.12
2003-10-01,82.4,0.00
2003-11-01,82.2,-0.24
2003-12-01,82.9,0.85
2004-01-01,82.9,0.00
2004-02-01,83.1,0.24
2004-03-01,83.4,0.36
2004-04-01,83.7,0.36
2004-05-01,83.9,0.24
2004-06-01,83.9,0.00
2004-07-01,84.1,0.24
2004-08-01,84.3,0.24
2004-09-01,84.0,-0.36
2004-10-01,84.2,0.24
2004-11-01,83.8,-0.48
2004-12-01,84.8,1.19
2005-01-01,84.3,-0.59
2005-02-01,84.6,0.36
2005-03-01,84.9,0.35
2005-04-01,84.9,0.00
2005-05-01,85.2,0.35
2005-06-01,85.3,0.12
2005-07-01,85.7,0.47
2005-08-01,85.9,0.23
2005-09-01,86.2,0.35
2005-10-01,86.2,0.00
2005-11-01,85.7,-0.58
2005-12-01,86.6,1.05
2006-01-01,86.1,-0.58
2006-02-01,86.4,0.35
